"country";"energy_type";"year";"emission";"per_capita_emission"
"Saint Pierre and Miquelon";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Saint Vincent/Grenadines";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Samoa";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Sao Tome and Principe";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Seychelles";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Sierra Leone";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Solomon Islands";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Somalia";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"South Sudan";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Sri Lanka";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Sudan";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Timor-Leste";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Tonga";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Turks and Caicos Islands";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Tuvalu";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"U.S. Pacific Islands";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"U.S. Virgin Islands";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Uganda";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Vanuatu";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Wake Island";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Western Sahara";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Zambia";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Zimbabwe";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"American Samoa";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Antarctica";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Antigua and Barbuda";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Aruba";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Belize";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Bermuda";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Bhutan";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Botswana";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"British Virgin Islands";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Burkina Faso";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Burundi";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Cabo Verde";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Cambodia";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Cayman Islands";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Central African Republic";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Chad";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Comoros";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Congo-Kinshasa";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
"Cook Islands";"Consumed natural gas (MMtonnes CO2)";2021;0;0.007126096
